load1,load2,load3,load4,load5,load6,load7,month,date,hour,temp,is_weekend,label
310.569543,345.7368066,300.5637866,381.1202696,442.7750498,338.242713,248.8800045,1,13,23,-2.006445312,0,290.8295218
243.4033905,286.6301806,289.0646602,289.2070821,272.8475906,309.6488095,192.2558319,1,14,0,-2.811254883,1,265.1393024
263.9320505,227.6715242,242.298538,228.6963665,237.4413392,271.8611579,164.7880851,1,14,1,-2.981787109,1,235.687504
230.4322102,170.9078078,224.5963346,189.4045558,186.7554723,159.1084777,145.1432191,1,14,2,-3.021490479,1,180.6229324
230.8923913,190.2204662,220.5575826,240.0346724,196.1530745,222.2723847,131.9258328,1,14,3,-4.410955811,1,180.22615
482.8608303,433.9130227,429.007238,439.8935075,373.686719,277.7341986,188.1820443,1,14,4,-4.490362549,1,469.5775219
784.6042963,762.0145643,727.4151546,803.1292495,566.1798745,467.6562441,380.1091744,1,14,5,-5.867224121,1,668.3778256
816.8019651,813.1150728,832.9765513,740.9033981,778.5012831,634.3942911,582.3175354,1,14,6,-5.906896973,1,909.8817835
937.0406233,799.52484,819.8203991,908.6861158,751.2288984,914.2471991,631.5447876,1,14,7,-5.927648926,1,1209.288805
874.556732,938.259626,999.32595,1003.22363,923.0240154,967.9126961,915.2774404,1,14,8,-6.077429199,1,1159.782355
1084.182999,1071.553808,952.8452054,1008.384216,867.0816722,1167.856928,1086.628195,1,14,9,-5.24375,1,843.7960159
906.7512495,1175.399948,992.1328535,944.8114102,829.3589797,1032.207335,1093.317548,1,14,10,-5.117437744,1,791.4762346
978.668914,1118.376371,1462.101875,992.4514078,879.6639927,1032.759494,1095.569165,1,14,11,-5.282537842,1,984.3793936
1114.311999,1048.307981,1326.86503,1191.81274,912.5199133,1109.070936,1062.392023,1,14,12,-3.939978027,1,849.6489659
987.5226523,1015.028462,1252.67356,1109.00653,1156.334309,1142.633636,916.9375287,1,14,13,-3.83081665,1,906.1672712
1125.284441,1142.206292,1162.900694,1185.807383,1057.036202,1080.020413,1146.355245,1,14,14,-3.569158936,1,945.8044457
1046.755762,1314.779111,1302.60252,1413.296109,1238.930122,1153.694104,1234.044747,1,14,15,-4.009466553,1,914.6529209
